Event_ID,Event_Date,Model_Name,Region,Predicted_Class,Actual_Class,Prediction_Score,Latency_ms,Inference_Cost_USD,Drift_Score,Fairness_Gap,Business_Value_USD,Outcome_Status,Prediction_Correct,Drift_Alert,Fairness_Alert,Latency_Alert,Model_Health
EVT10174,2026-02-20,Churn_Model,North,Positive,Negative,0.77,205.8,0.029,0.23,0.015,192.96,Failure,0,Alert,Normal,Normal,Needs Attention
EVT10275,2026-04-03,Fraud_Model,South,Positive,Negative,0.755,192.7,0.026,0.224,0.063,1380.44,Success,0,Alert,Normal,Normal,Needs Attention
EVT10490,2026-02-02,Demand_Model,West,Negative,Negative,0.922,239.2,0.147,0.066,0.145,1246.56,Success,1,Normal,Alert,Normal,Needs Attention
EVT10073,2026-06-11,Demand_Model,West,Negative,Positive,0.747,197.4,0.131,0.097,0.167,1120.83,Success,0,Normal,Alert,Normal,Needs Attention
EVT10306,2026-01-27,Fraud_Model,West,Negative,Positive,0.97,180.4,0.114,0.015,0.164,82.22,Success,0,Normal,Alert,Normal,Needs Attention
EVT10077,2026-01-15,Demand_Model,North,Positive,Negative,0.894,151.5,0.066,0.292,0.15,422.28,Success,0,Alert,Alert,Normal,Needs Attention
EVT10476,2026-03-10,Churn_Model,East,Negative,Negative,0.517,207.5,0.169,0.317,0.14,1449.55,Success,1,Alert,Alert,Normal,Needs Attention
EVT10141,2026-06-20,Fraud_Model,South,Negative,Negative,0.574,124.3,0.171,0.187,0.021,290.78,Failure,1,Normal,Normal,Normal,Healthy
EVT10470,2026-02-03,Fraud_Model,South,Positive,Negative,0.86,274.2,0.141,0.05,0.132,1335.12,Failure,0,Normal,Alert,Normal,Needs Attention
EVT10499,2026-06-17,Fraud_Model,South,Negative,Negative,0.775,212.9,0.129,0.277,0.073,1359.71,Success,1,Alert,Normal,Normal,Needs Attention
EVT10219,2026-04-03,Fraud_Model,West,Negative,Negative,0.579,158.9,0.01,0.141,0.115,559.74,Success,1,Normal,Alert,Normal,Needs Attention
EVT10010,2026-03-16,Churn_Model,North,Positive,Positive,0.807,147.0,0.082,0.131,0.104,1491.9,Failure,1,Normal,Alert,Normal,Needs Attention
EVT10480,2026-03-21,Churn_Model,West,Negative,Negative,0.567,239.7,0.133,0.26,0.119,582.09,Success,1,Alert,Alert,Normal,Needs Attention
EVT10079,2026-03-23,Churn_Model,East,Negative,Positive,0.934,297.8,0.055,0.285,0.018,667.61,Success,0,Alert,Normal,Normal,Needs Attention
EVT10323,2026-01-06,Fraud_Model,East,Negative,Negative,0.799,266.2,0.056,0.207,0.183,960.23,Failure,1,Alert,Alert,Normal,Needs Attention
EVT10313,2026-02-17,Churn_Model,North,Negative,Negative,0.552,76.3,0.18,0.012,0.2,761.09,Success,1,Normal,Alert,Normal,Needs Attention
EVT10125,2026-05-22,Demand_Model,East,Positive,Negative,0.588,68.5,0.12,0.204,0.13,1258.15,Success,0,Alert,Alert,Normal,Needs Attention
EVT10385,2026-06-02,Churn_Model,East,Positive,Positive,0.588,124.7,0.116,0.242,0.139,510.09,Failure,1,Alert,Alert,Normal,Needs Attention
EVT10196,2026-02-23,Demand_Model,South,Positive,Negative,0.98,157.7,0.141,0.137,0.023,571.7,Success,0,Normal,Normal,Normal,Healthy
EVT10448,2026-01-22,Churn_Model,West,Negative,Positive,0.537,253.2,0.083,0.145,0.13,352.18,Failure,0,Normal,Alert,Normal,Needs Attention
EVT10272,2026-04-22,Fraud_Model,East,Positive,Negative,0.775,242.7,0.06,0.151,0.01,342.67,Success,0,Normal,Normal,Normal,Healthy
EVT10279,2026-03-23,Fraud_Model,East,Positive,Positive,0.857,302.2,0.142,0.078,0.009,811.1,Success,1,Normal,Normal,Alert,Needs Attention
EVT10031,2026-06-19,Demand_Model,West,Negative,Positive,0.986,229.5,0.18,0.123,0.155,717.97,Failure,0,Normal,Alert,Normal,Needs Attention
EVT10500,2026-03-15,Churn_Model,South,Negative,Negative,0.462,169.4,0.045,0.096,0.109,437.75,Success,1,Normal,Alert,Normal,Needs Attention
